date,div
2000-11-13,0.215000
2001-11-13,0.225000
2002-11-13,0.235000
2003-11-12,0.400000
2004-11-10,0.550000
2005-11-10,0.670000
2006-11-13,1.000000
2007-11-13,1.500000
2008-02-28,0.375000
2008-06-05,0.375000
2008-08-28,0.375000
2008-11-26,0.500000
2009-02-26,0.500000
2009-06-04,0.500000
2009-08-28,0.500000
2009-11-27,0.550000
2010-02-25,0.550000
2010-05-27,0.550000
2010-08-30,0.550000
2010-11-29,0.610000
2011-02-25,0.610000
2011-05-27,0.610000
2011-08-30,0.610000
2011-11-29,0.700000
2012-02-28,0.700000
2012-05-31,0.700000
2012-08-30,0.700000
2012-11-29,0.770000
2013-02-27,0.770000
2013-05-30,0.770000
2013-08-29,0.770000
2013-11-27,0.810000
2014-02-27,0.810000
2014-05-29,0.810000
2014-08-28,0.810000
2014-11-26,0.850000
2015-02-26,0.850000
2015-05-28,0.850000
2015-08-28,0.850000
2015-11-27,0.890000
2016-02-26,0.890000
2016-06-02,0.890000
2016-08-30,0.890000
2016-11-29,0.940000
2017-02-27,0.940000
2017-06-01,0.940000
2017-08-30,0.940000
2017-11-30,1.010000
2018-02-28,1.010000
2018-06-01,1.010000
2018-08-31,1.010000
2018-11-30,1.160000
2019-02-28,1.160000
2019-05-31,1.160000
2019-08-30,1.160000
2019-11-29,1.250000
2020-02-28,1.250000
2020-05-29,1.250000
2020-08-31,1.250000
2020-11-30,1.290000
2021-02-26,1.290000
2021-05-28,1.290000
2021-08-31,1.290000
2021-11-30,1.380000
2022-02-28,1.380000
2022-06-03,1.380000
2022-08-31,1.380000
2022-11-30,1.520000
2023-02-28,1.520000
2023-06-02,1.520000
2023-08-31,1.520000
2023-11-30,1.670000
2024-02-29,1.670000
2024-06-03,1.670000
2024-09-03,1.670000
2024-12-02,1.770000
2025-03-03,1.770000
2025-06-02,1.770000
2025-09-02,1.770000
2025-12-01,1.860000
2026-03-03,1.860000
2026-06-02,1.860000
